Campaign_ID,Platform,Campaign_Name,Ad_Spend,Impressions,Clicks,Leads,Purchases,Revenue
CMP-1030,Meta (Facebook/IG),Lead Gen - Q3,1627.02,290640,7625,1039,247,44355.67
CMP-1031,Email Promo,Retargeting - Q1,1504.68,144259,6208,841,125,6485.24
CMP-1032,Meta (Facebook/IG),Retargeting - Q4,2170.14,338524,14168,1936,523,39744.31
CMP-1033,Meta (Facebook/IG),Brand Awareness - Q4,4738.87,344098,6553,1202,360,18954.56
CMP-1034,Google Ads,Brand Awareness - Q2,1117.77,210725,4279,659,166,33141.46
CMP-1035,TikTok Ads,Product Launch - Q1,1736.34,280389,6417,686,163,17853.68
CMP-1036,Google Ads,Holiday Sale - Q3,901.69,119373,4553,715,206,14060.81
CMP-1037,Google Ads,Retargeting - Q4,4821.21,697035,20188,1046,220,27048.05
CMP-1038,Meta (Facebook/IG),Brand Awareness - Q1,2569.06,456029,15981,1111,253,41515.39
CMP-1039,Email Promo,Brand Awareness - Q3,4868.22,649080,24336,4307,1052,173774.23
CMP-1040,Google Ads,Product Launch - Q2,3567.55,445878,6718,1229,174,19938.93
CMP-1041,Email Promo,Lead Gen - Q4,2934.99,527024,19679,2399,452,30732.27
CMP-1042,Meta (Facebook/IG),Product Launch - Q2,2413.25,230662,10512,540,64,9629.86
CMP-1043,Meta (Facebook/IG),Lead Gen - Q1,1627.61,290383,3295,655,192,37570.89
CMP-1044,Google Ads,Product Launch - Q1,3315.9,407516,9411,1762,207,36886.07
CMP-1045,Google Ads,Lead Gen - Q3,2723.02,491662,5516,1016,121,21746.17
CMP-1046,Email Promo,Brand Awareness - Q1,272.39,28170,986,69,18,902.82
CMP-1047,TikTok Ads,Retargeting - Q4,3125.62,558935,21507,3155,745,89192.24
CMP-1048,Meta (Facebook/IG),Retargeting - Q1,1688.43,224199,8445,472,107,18872.51
CMP-1049,TikTok Ads,Lead Gen - Q3,1909.5,238336,6215,482,134,25535.47
CMP-1050,Google Ads,Holiday Sale - Q4,102.17,12973,547,59,9,1028.35
CMP-1051,Meta (Facebook/IG),Holiday Sale - Q2,1359.6,69000,2159,360,96,17984.03
CMP-1052,Meta (Facebook/IG),Lead Gen - Q3,4138.66,674178,15785,2439,674,39789.38
CMP-1053,TikTok Ads,Lead Gen - Q2,1645.32,304429,7189,1410,333,45573.21
CMP-1054,LinkedIn Ads,Holiday Sale - Q4,432.01,24466,1119,178,43,7137.02
CMP-1055,TikTok Ads,Holiday Sale - Q4,2175.14,236112,6901,947,102,19473.05
CMP-1056,Meta (Facebook/IG),Holiday Sale - Q3,4976.52,468421,9252,1823,333,47463.16
CMP-1057,Google Ads,Retargeting - Q1,668.5,69457,1521,112,19,3611.87
CMP-1058,TikTok Ads,Brand Awareness - Q3,460.17,48686,1148,80,21,1169.8
CMP-1059,Google Ads,Retargeting - Q3,3475.45,231648,9955,1528,308,36612.87
CMP-1060,Google Ads,Product Launch - Q4,492.7,30463,1116,180,32,6289.31
CMP-1061,TikTok Ads,Lead Gen - Q2,3037.2,360512,5832,592,118,15943.11
CMP-1062,Google Ads,Retargeting - Q2,1556.64,216904,7442,904,210,29199.81
CMP-1063,Email Promo,Lead Gen - Q3,4218.6,522854,23126,1659,347,55990.64
CMP-1064,Meta (Facebook/IG),Holiday Sale - Q3,3626.87,298563,14611,2129,228,14852.9
CMP-1065,LinkedIn Ads,Product Launch - Q4,1442.69,96663,4299,219,51,7630.38
CMP-1066,Google Ads,Product Launch - Q1,2072.53,131262,1391,270,27,1415.11
CMP-1067,Google Ads,Product Launch - Q4,4316.25,776903,9679,1351,284,48627.65
CMP-1068,TikTok Ads,Brand Awareness - Q2,2465.71,223030,7729,1134,222,41885.57
CMP-1069,TikTok Ads,Brand Awareness - Q1,1600.41,249933,5042,992,161,25638.32
CMP-1070,Google Ads,Product Launch - Q1,276.02,26190,524,30,5,377.8
CMP-1071,Email Promo,Brand Awareness - Q1,4158.92,508437,23427,1997,318,31826.45
CMP-1072,Email Promo,Retargeting - Q1,2425.04,325956,9347,1462,256,36590.81
CMP-1073,TikTok Ads,Brand Awareness - Q4,1360.35,88861,4435,551,162,30957.03
CMP-1074,Meta (Facebook/IG),Holiday Sale - Q4,1945.5,209141,3884,249,38,5811.76
CMP-1075,TikTok Ads,Product Launch - Q1,4176.31,233540,9262,763,210,28471.14
CMP-1076,Meta (Facebook/IG),Retargeting - Q3,2245.62,244965,9012,1022,163,24391.84
CMP-1077,Email Promo,Holiday Sale - Q1,3502.53,527076,9035,1423,278,14073.11
CMP-1078,Google Ads,Holiday Sale - Q1,820.46,48971,884,64,8,1122.92
CMP-1079,LinkedIn Ads,Holiday Sale - Q3,2447.7,276026,11588,2091,558,78608.6
CMP-1080,Meta (Facebook/IG),Product Launch - Q1,1410.33,142847,5795,1134,134,20050.25
CMP-1081,TikTok Ads,Brand Awareness - Q4,1265.17,245139,2999,509,151,13721.63
CMP-1082,Google Ads,Brand Awareness - Q1,2999.26,415227,20294,2303,384,63363.56
CMP-1083,Meta (Facebook/IG),Lead Gen - Q4,502.91,93709,4443,601,165,26122.46
CMP-1084,TikTok Ads,Retargeting - Q2,3097.99,420172,7120,837,110,12237.21
CMP-1085,Google Ads,Lead Gen - Q2,911.21,81516,1192,99,21,1854.59
CMP-1086,Meta (Facebook/IG),Retargeting - Q2,1800.23,261106,7848,1422,331,56752.05
CMP-1087,Meta (Facebook/IG),Holiday Sale - Q3,3579.37,552296,19370,3723,701,109400.52
CMP-1088,Google Ads,Holiday Sale - Q4,1889,163564,4269,594,108,15016.76
CMP-1089,Meta (Facebook/IG),Holiday Sale - Q2,2174.22,334073,7286,1402,353,41008.13
CMP-1090,Meta (Facebook/IG),Brand Awareness - Q1,4206.35,631605,9079,1809,500,52306.89
CMP-1091,Meta (Facebook/IG),Brand Awareness - Q2,384.37,75535,2944,157,34,2552.2
CMP-1092,LinkedIn Ads,Lead Gen - Q2,1862.43,210564,9270,788,160,27927.52
CMP-1093,Google Ads,Brand Awareness - Q2,1390.35,273294,8109,1568,393,56632.35
CMP-1094,TikTok Ads,Brand Awareness - Q3,1899.47,294109,5426,872,166,19879.45
CMP-1095,TikTok Ads,Brand Awareness - Q2,3046.61,335834,13499,1377,246,32005.5
CMP-1096,Google Ads,Retargeting - Q4,4951.85,370193,11565,1225,350,59064.28
CMP-1097,Google Ads,Product Launch - Q1,1278.86,188861,6810,1133,299,46825.6
CMP-1098,Google Ads,Brand Awareness - Q4,1676.82,286435,11028,2037,260,35866.84
CMP-1099,Meta (Facebook/IG),Lead Gen - Q4,2790.93,496822,6037,388,50,8844.77
CMP-1100,Meta (Facebook/IG),Holiday Sale - Q3,4084.07,302831,14741,1395,248,41420.11
CMP-1101,Meta (Facebook/IG),Lead Gen - Q3,1168.72,110482,4749,886,241,14024.63
CMP-1102,Meta (Facebook/IG),Retargeting - Q4,1483.67,221267,2346,151,40,7711.77
CMP-1103,TikTok Ads,Lead Gen - Q1,4388.44,763099,32017,3031,364,65426.51
CMP-1104,TikTok Ads,Retargeting - Q2,1175.98,162879,8137,494,86,10671.41
CMP-1105,Meta (Facebook/IG),Brand Awareness - Q4,2771.01,290810,8064,523,151,23338.23
CMP-1106,Google Ads,Product Launch - Q3,3077.64,230109,3755,678,126,22395.23
CMP-1107,Meta (Facebook/IG),Holiday Sale - Q3,555.22,41941,711,131,13,1741.39
CMP-1108,Meta (Facebook/IG),Retargeting - Q2,2802.63,194978,2077,227,40,4025.74
CMP-1109,Google Ads,Brand Awareness - Q2,4813.85,867888,23601,3944,505,97615.02
CMP-1110,Meta (Facebook/IG),Lead Gen - Q2,2502.02,178451,5595,322,89,14434.6
CMP-1111,Google Ads,Holiday Sale - Q4,3677.22,438374,18754,3726,401,71167.22
CMP-1112,TikTok Ads,Lead Gen - Q2,225.77,32415,429,47,6,1130.2
CMP-1113,Google Ads,Lead Gen - Q3,3672.42,595651,19034,1608,239,30746.82
CMP-1114,TikTok Ads,Holiday Sale - Q1,3543.91,533440,5502,636,86,11070.03
CMP-1115,Google Ads,Holiday Sale - Q4,693.21,104538,2805,483,79,14595.16
CMP-1116,Google Ads,Product Launch - Q1,2882.2,439090,11396,1386,224,19361.96
CMP-1117,TikTok Ads,Product Launch - Q2,2268.59,328530,7239,987,99,13383.08
CMP-1118,LinkedIn Ads,Lead Gen - Q1,1012.09,164155,7940,1464,361,52593.38
CMP-1119,Meta (Facebook/IG),Retargeting - Q1,3969.43,481339,13005,1516,284,30967.81
CMP-1120,Google Ads,Product Launch - Q3,1268.26,209475,9948,1101,173,34181.6
CMP-1121,Google Ads,Holiday Sale - Q3,1680.32,290356,8033,697,190,24059.53
CMP-1122,Email Promo,Lead Gen - Q2,2175.73,387600,8895,1612,231,29051.91
CMP-1123,Email Promo,Brand Awareness - Q3,1699.51,319017,14630,959,157,26841.05
CMP-1124,Google Ads,Retargeting - Q1,4309.26,739549,33338,3084,922,182764.24
CMP-1125,Meta (Facebook/IG),Retargeting - Q2,4453.59,888036,42363,3617,990,57928.51
CMP-1126,TikTok Ads,Lead Gen - Q2,4689.62,859207,19772,3709,874,148002.02
CMP-1127,Meta (Facebook/IG),Product Launch - Q3,1668.33,189733,8072,948,188,36045.65
CMP-1128,Email Promo,Product Launch - Q3,3350.27,538010,17317,2426,493,44391.59
CMP-1129,Google Ads,Product Launch - Q2,2199.97,397392,12061,1015,252,49848.44
CMP-1130,Email Promo,Holiday Sale - Q2,4853.83,288181,7186,860,235,27868.83
CMP-1131,TikTok Ads,Product Launch - Q1,2843.89,329887,14272,2068,234,31436.19
CMP-1132,TikTok Ads,Product Launch - Q2,4890.83,750096,23528,4215,714,114730.21
CMP-1133,TikTok Ads,Product Launch - Q4,4269.85,283410,6493,1296,342,26059.1
CMP-1134,Meta (Facebook/IG),Brand Awareness - Q3,4128.95,259415,10985,2171,453,39210.65
CMP-1135,Meta (Facebook/IG),Lead Gen - Q3,2619.99,308451,7217,1219,358,50592.85
CMP-1136,Email Promo,Holiday Sale - Q1,639.43,121321,3830,406,63,5620.26
CMP-1137,Meta (Facebook/IG),Lead Gen - Q4,2062.4,119696,1389,165,19,2753.42
CMP-1138,Meta (Facebook/IG),Product Launch - Q1,1513.38,287457,7321,1001,184,19542.38
CMP-1139,Email Promo,Lead Gen - Q3,1635.19,204842,9938,1643,388,32110.54
CMP-1140,Google Ads,Product Launch - Q3,2779.18,178061,4987,480,115,7264.55
CMP-1141,Google Ads,Product Launch - Q2,1461.94,191391,5929,1143,131,25332.05
CMP-1142,Google Ads,Holiday Sale - Q4,4312.66,488985,8017,1319,291,18482.73
CMP-1143,Meta (Facebook/IG),Product Launch - Q3,3604.79,596158,28560,1798,287,54721.81
CMP-1144,TikTok Ads,Brand Awareness - Q4,1868.34,137361,6632,869,198,20609.73
CMP-1145,Google Ads,Brand Awareness - Q3,4722.09,904841,21306,3327,766,105610.69
CMP-1146,TikTok Ads,Brand Awareness - Q2,495.89,56531,2740,173,17,2009.37
CMP-1147,Meta (Facebook/IG),Brand Awareness - Q2,3742.49,518982,19009,2845,587,78876.71
CMP-1148,Meta (Facebook/IG),Retargeting - Q1,2915.43,175178,5141,477,123,23583.78
CMP-1149,Email Promo,Product Launch - Q4,836.45,76213,1303,118,32,5353.24
CMP-1150,Google Ads,Holiday Sale - Q1,3592.28,206914,9482,1490,358,46076.84
CMP-1151,Meta (Facebook/IG),Retargeting - Q3,1562.86,274309,10918,2138,590,69385.79
CMP-1152,TikTok Ads,Brand Awareness - Q2,3859.47,248999,9074,669,125,9292.95
CMP-1153,LinkedIn Ads,Product Launch - Q3,4851.54,430390,6326,635,153,9334.53
CMP-1154,Google Ads,Retargeting - Q4,4735.83,837076,14959,2039,219,39844.92
CMP-1155,Meta (Facebook/IG),Lead Gen - Q2,1650.66,223601,9451,925,244,42996.45
CMP-1156,TikTok Ads,Brand Awareness - Q2,4052.34,469481,13145,2383,466,87216.99
CMP-1157,Google Ads,Product Launch - Q2,4367.84,625307,16459,1141,297,15836.25
CMP-1158,Meta (Facebook/IG),Lead Gen - Q4,379.72,21601,480,79,22,1218.48
CMP-1159,TikTok Ads,Retargeting - Q1,2750.65,327435,13865,696,101,9625.1
CMP-1160,Email Promo,Holiday Sale - Q4,3890.44,495515,17756,2834,498,32316.46
CMP-1161,TikTok Ads,Product Launch - Q4,1508.69,228581,9824,952,250,15116.06
CMP-1162,Meta (Facebook/IG),Holiday Sale - Q3,4212.37,512872,13448,2320,269,47731.48
CMP-1163,TikTok Ads,Lead Gen - Q1,3509.37,194234,7139,789,136,7640.54
CMP-1164,Meta (Facebook/IG),Holiday Sale - Q3,4490.59,436899,11809,841,204,21783.22
CMP-1165,Email Promo,Holiday Sale - Q4,4326.62,309119,5113,486,64,10412.82
CMP-1166,TikTok Ads,Brand Awareness - Q4,532.03,58491,1107,92,16,1860.48
CMP-1167,Email Promo,Holiday Sale - Q3,2218.84,348676,6425,772,135,18190.44
CMP-1168,Meta (Facebook/IG),Lead Gen - Q1,4006.64,250249,7533,1419,193,34666.61
CMP-1169,TikTok Ads,Lead Gen - Q3,732.05,43912,873,90,11,2051.86
CMP-1170,TikTok Ads,Brand Awareness - Q4,4587.95,523777,6466,1150,277,33165.93
CMP-1171,Email Promo,Retargeting - Q4,4899.63,565516,20481,3152,694,85560.35
CMP-1172,TikTok Ads,Lead Gen - Q2,1955.56,185298,5214,516,95,16719.78
CMP-1173,TikTok Ads,Lead Gen - Q4,648.73,109227,3144,576,91,12690
CMP-1174,Google Ads,Lead Gen - Q3,4384.73,587727,26339,5002,1239,174134.13
CMP-1175,Email Promo,Lead Gen - Q3,4623.47,801841,10693,1209,251,44675.25
CMP-1176,Google Ads,Lead Gen - Q4,337.09,27619,860,111,28,4606.63
CMP-1177,Meta (Facebook/IG),Holiday Sale - Q2,1722.37,126413,2772,469,90,9119.74
CMP-1178,Meta (Facebook/IG),Product Launch - Q4,2774.7,264050,7840,454,103,18603.8
CMP-1179,Meta (Facebook/IG),Brand Awareness - Q1,356.03,30904,854,51,5,557.94
CMP-1180,TikTok Ads,Brand Awareness - Q2,4195.49,415677,8627,1493,445,52786.43
CMP-1181,Google Ads,Lead Gen - Q3,3427.05,388727,17078,1431,236,27897.39
CMP-1182,Meta (Facebook/IG),Product Launch - Q2,2761.75,435481,21360,1193,324,18769.6
CMP-1183,Google Ads,Brand Awareness - Q2,288.24,49568,851,100,24,2032.13
CMP-1184,Google Ads,Lead Gen - Q1,3887.53,275591,11006,699,99,14426.22
CMP-1185,TikTok Ads,Lead Gen - Q3,1433.45,165633,2720,348,42,7787.61
CMP-1186,TikTok Ads,Brand Awareness - Q1,1088.54,145040,5781,334,58,7849.75
CMP-1187,Meta (Facebook/IG),Lead Gen - Q1,568.34,104844,2130,153,41,3014.2
CMP-1188,LinkedIn Ads,Holiday Sale - Q4,1350.36,237123,9347,1432,370,70271.69
CMP-1189,Google Ads,Brand Awareness - Q4,1483.47,233968,5902,983,190,27902.89
CMP-1190,Meta (Facebook/IG),Product Launch - Q3,2194.67,327765,8544,522,81,15417.37
CMP-1191,TikTok Ads,Brand Awareness - Q1,2439.38,475628,20654,4045,499,47992.8
CMP-1192,Google Ads,Brand Awareness - Q1,3903.28,309186,14274,2323,380,38140.18
CMP-1193,TikTok Ads,Retargeting - Q1,678.52,63602,1879,339,84,14139.16
CMP-1194,Meta (Facebook/IG),Brand Awareness - Q1,1986.8,326314,4846,254,64,6219.45
CMP-1195,TikTok Ads,Brand Awareness - Q1,1996.94,285837,3271,611,108,8534.59
CMP-1196,TikTok Ads,Lead Gen - Q2,3209.75,592876,11672,2098,598,81177.74
CMP-1197,Google Ads,Retargeting - Q3,4780.59,298253,7727,425,82,14841.68
CMP-1198,Google Ads,Retargeting - Q4,2968.76,477573,15973,2778,518,44999.11
CMP-1199,TikTok Ads,Product Launch - Q1,2781.57,360019,9320,909,219,28101.71
CMP-1200,Meta (Facebook/IG),Product Launch - Q4,2471.76,451924,14505,2335,407,49766.21
CMP-1201,Google Ads,Holiday Sale - Q3,2584.54,130129,4752,945,218,16829.04
CMP-1202,Google Ads,Retargeting - Q1,3742.73,405758,11931,1722,334,62800.95
CMP-1203,Meta (Facebook/IG),Lead Gen - Q2,3636.72,613711,9055,597,103,7322.76
CMP-1204,TikTok Ads,Holiday Sale - Q2,1291.54,109432,4020,618,98,5881.91
CMP-1205,Email Promo,Holiday Sale - Q1,4001.88,460828,17596,3104,475,45054.59
CMP-1206,TikTok Ads,Holiday Sale - Q4,2448.28,293062,6930,1298,313,25529.43
CMP-1207,TikTok Ads,Brand Awareness - Q2,2249.15,410042,10983,576,81,6009.99
CMP-1208,Meta (Facebook/IG),Product Launch - Q2,2602.29,248908,4258,456,120,15715.05
CMP-1209,Meta (Facebook/IG),Holiday Sale - Q4,4094.39,548947,8612,1626,255,42542.85
CMP-1210,Google Ads,Holiday Sale - Q4,1357,101805,3672,658,195,30087.15
CMP-1211,TikTok Ads,Brand Awareness - Q2,3764.83,652240,12129,2069,395,57675
CMP-1212,TikTok Ads,Retargeting - Q3,671.4,112066,4428,267,34,4285.22
CMP-1213,TikTok Ads,Retargeting - Q3,2202.03,380691,10155,569,66,12782.17
CMP-1214,Email Promo,Product Launch - Q3,4813.46,288891,4120,454,124,17641.22
CMP-1215,Meta (Facebook/IG),Holiday Sale - Q3,426.31,22384,735,50,12,771.89
CMP-1216,Google Ads,Retargeting - Q4,717.1,111168,3784,353,52,7791.79
CMP-1217,Google Ads,Product Launch - Q1,4827.18,715727,20253,3191,952,159411.78
CMP-1218,TikTok Ads,Brand Awareness - Q2,3825.62,508116,5852,903,173,32539.87
CMP-1219,TikTok Ads,Holiday Sale - Q2,2701.08,230636,4317,592,150,20763.77
CMP-1220,TikTok Ads,Holiday Sale - Q4,3901.93,205337,5125,1017,269,48806.36
CMP-1221,Meta (Facebook/IG),Brand Awareness - Q4,328.35,35988,1491,203,35,2006.68
CMP-1222,Google Ads,Holiday Sale - Q4,4205.13,474684,14445,2294,621,118108.39
CMP-1223,Google Ads,Product Launch - Q4,4979.28,355778,8487,795,232,19529.26
CMP-1224,Google Ads,Lead Gen - Q2,140.64,23979,442,60,7,592.82
CMP-1225,Email Promo,Brand Awareness - Q4,2913.48,413640,18946,3729,815,43376.23
CMP-1226,Meta (Facebook/IG),Product Launch - Q4,2373.19,236400,8317,480,69,6400.82
CMP-1227,Google Ads,Retargeting - Q3,3056.11,484774,14205,1301,143,9699.82
CMP-1228,TikTok Ads,Product Launch - Q4,109.78,14759,407,80,11,1127.77
CMP-1229,LinkedIn Ads,Retargeting - Q1,3722.54,347105,11590,1682,268,24331.71
CMP-1230,TikTok Ads,Retargeting - Q4,512.16,97324,1377,86,22,2973.83
CMP-1231,LinkedIn Ads,Product Launch - Q2,3897.45,325012,7567,695,135,25784.35
CMP-1232,Google Ads,Retargeting - Q4,703.19,81516,2715,245,29,4023.97
CMP-1233,Meta (Facebook/IG),Brand Awareness - Q3,693.94,58602,704,76,10,670.2
CMP-1234,TikTok Ads,Holiday Sale - Q1,4444.95,884845,14159,805,130,13778.72
CMP-1235,Meta (Facebook/IG),Product Launch - Q1,4252.02,302839,7167,501,125,14945.56
CMP-1236,LinkedIn Ads,Lead Gen - Q4,3144.32,457729,6948,877,145,13108.44
CMP-1237,Google Ads,Retargeting - Q4,611.51,112016,4663,783,81,10900.5
CMP-1238,TikTok Ads,Product Launch - Q2,3744.46,304328,14752,2266,457,27776.09
CMP-1239,TikTok Ads,Holiday Sale - Q1,4267.97,693202,18747,1703,298,29538.66
CMP-1240,Google Ads,Lead Gen - Q3,4127.11,743958,25387,2900,843,113592.42
CMP-1241,LinkedIn Ads,Product Launch - Q2,1966.08,177687,8126,963,161,24846.6
CMP-1242,Google Ads,Lead Gen - Q4,2196.21,238512,6717,1325,196,15095.31
CMP-1243,TikTok Ads,Product Launch - Q1,3238.44,579612,21556,3955,893,152727.56
CMP-1244,Email Promo,Holiday Sale - Q3,1291.99,127213,2801,296,73,11640.93
CMP-1245,Meta (Facebook/IG),Lead Gen - Q3,4043.82,652683,13384,2549,275,22041.4
CMP-1246,Meta (Facebook/IG),Retargeting - Q2,3746.75,731242,27564,4361,699,50680.53
CMP-1247,Meta (Facebook/IG),Brand Awareness - Q2,4869.82,277904,13207,2087,508,63479.08
CMP-1248,TikTok Ads,Retargeting - Q3,1532.89,128663,4206,528,126,7433.27
CMP-1249,Meta (Facebook/IG),Brand Awareness - Q2,1440.94,280468,11219,788,96,10171.65
CMP-1250,TikTok Ads,Holiday Sale - Q3,2194.31,352169,4712,341,36,3825.43
CMP-1251,Google Ads,Brand Awareness - Q1,4911.34,679687,10028,1771,338,46333.5
CMP-1252,Google Ads,Product Launch - Q1,695.71,103702,2918,477,122,14065.73
CMP-1253,Email Promo,Retargeting - Q1,702.37,96537,974,108,12,1240.54
CMP-1254,Google Ads,Brand Awareness - Q4,2863.5,487600,16907,2557,642,62961.6
CMP-1255,Meta (Facebook/IG),Retargeting - Q2,2308.01,279292,10954,1264,267,18827.24
CMP-1256,Google Ads,Lead Gen - Q2,2040.05,276867,3608,548,107,10150.72
CMP-1257,TikTok Ads,Product Launch - Q3,3201.17,291862,7658,809,119,9305.54
CMP-1258,TikTok Ads,Product Launch - Q3,2889.13,365328,12028,981,275,15790.75
CMP-1259,Email Promo,Product Launch - Q3,1363.47,232482,3495,680,80,4565.43
CMP-1260,Google Ads,Product Launch - Q4,2874.52,249578,4392,486,138,26099.66
CMP-1261,Meta (Facebook/IG),Holiday Sale - Q3,2578.28,293278,12027,1622,447,70582.12
CMP-1262,Meta (Facebook/IG),Lead Gen - Q2,1674.37,270944,4530,756,88,4406.76
CMP-1263,Google Ads,Holiday Sale - Q1,2965.57,331449,12590,2203,443,86920.22
CMP-1264,TikTok Ads,Product Launch - Q2,2415.85,262203,8831,1664,253,15719.75
CMP-1265,TikTok Ads,Lead Gen - Q3,4374.42,725211,27022,2269,311,24952.85
CMP-1266,Email Promo,Retargeting - Q3,933.29,130622,2247,188,56,8828.99
CMP-1267,TikTok Ads,Product Launch - Q3,3512.1,201560,8087,686,180,34474.58
CMP-1268,Google Ads,Retargeting - Q2,2758.94,392171,10078,1667,378,67876.8
CMP-1269,Meta (Facebook/IG),Brand Awareness - Q3,2049.01,246756,6206,405,88,12953.12
CMP-1270,TikTok Ads,Holiday Sale - Q3,4106.64,376257,18582,2733,351,57301.95
CMP-1271,Email Promo,Brand Awareness - Q1,652.23,54056,2151,167,37,5757.99
CMP-1272,Google Ads,Retargeting - Q3,812.58,74461,2377,355,52,3016.99
CMP-1273,Meta (Facebook/IG),Holiday Sale - Q4,1458.47,89451,1615,162,34,5076.17
CMP-1274,LinkedIn Ads,Product Launch - Q2,835.2,155624,1810,347,52,6096.36
CMP-1275,Meta (Facebook/IG),Retargeting - Q2,1336.14,164046,5120,598,114,19343.58
CMP-1276,Google Ads,Holiday Sale - Q1,1994.73,239431,4206,255,52,4006.65
CMP-1277,Meta (Facebook/IG),Brand Awareness - Q3,3874.39,206293,7397,1477,353,51925.16
CMP-1278,Google Ads,Retargeting - Q4,540.73,98550,3695,648,151,10743.96
CMP-1279,Meta (Facebook/IG),Lead Gen - Q1,1607.36,122167,3628,454,74,6522.68
CMP-1280,Meta (Facebook/IG),Retargeting - Q3,747.88,106459,4860,685,145,20770.94
CMP-1281,LinkedIn Ads,Lead Gen - Q2,2699.73,367651,4630,848,102,13567.95
CMP-1282,Meta (Facebook/IG),Brand Awareness - Q1,4669.92,501929,21224,3615,414,48671.56
CMP-1283,Google Ads,Lead Gen - Q3,1341.19,260474,6884,848,252,29858.02
CMP-1284,Google Ads,Product Launch - Q3,2843.97,527669,5924,375,61,3530.8
CMP-1285,LinkedIn Ads,Holiday Sale - Q3,2147.43,148035,3125,326,42,7799.44
CMP-1286,LinkedIn Ads,Holiday Sale - Q3,4929.81,600628,25478,3169,598,102577.28
CMP-1287,Meta (Facebook/IG),Lead Gen - Q3,2731.05,250408,7470,890,231,26594.87
CMP-1288,Email Promo,Retargeting - Q2,1720.34,235413,8520,1053,283,27657.42
CMP-1289,Email Promo,Holiday Sale - Q2,1365.46,159178,5705,606,171,22236
CMP-1290,Meta (Facebook/IG),Product Launch - Q1,1157.81,120143,5465,694,86,16123.23
CMP-1291,Google Ads,Product Launch - Q3,1068.59,161952,4478,872,160,24930.94
CMP-1292,TikTok Ads,Product Launch - Q1,1066.21,127298,4280,604,88,12336.49
CMP-1293,Email Promo,Holiday Sale - Q3,3518.68,368040,9001,561,61,8471.45
CMP-1294,LinkedIn Ads,Brand Awareness - Q4,1967.98,163750,5874,1014,111,14548.83
CMP-1295,Meta (Facebook/IG),Brand Awareness - Q3,4488.39,241993,3143,606,175,10261.27
CMP-1296,Meta (Facebook/IG),Product Launch - Q2,1021.74,113055,5391,350,80,9072.61
CMP-1297,TikTok Ads,Retargeting - Q4,1839.72,345450,17144,2169,263,24170.85
